# Free Space Reference Dataset - Active Polymer N=40
#
# Reference base: H_free (Shannon entropy in free space)
# All other observables fuzzy-matched with tolerance=0.05 on (Pe, T, kappa)
#
# Use this dataset when correlating free space observables or mixed observables
# with emphasis on free space data completeness.
#
# Columns:
# - Pe, T, kappa: simulation parameters (dimensionless)
# - H_free: Shannon entropy in free space (REFERENCE BASE)
# - lp_free: Persistence length from averaged correlation (normalized)
# - lp_free_individual: Mean of individual polymer persistence lengths (normalized)
# - tau_decorr_free_full: E2E full-vector decorrelation time in free space (seconds)
# - tau_decorr_free_unit: E2E unit-vector decorrelation time in free space (seconds)
# - D_long: Long-time diffusion coefficient in free space (mm²/s)
# - H_conf: Shannon entropy in confinement, CAVITY ONLY
# - lp_conf: Persistence length from averaged correlation in confinement (normalized)
# - lp_conf_individual: Mean of individual polymer persistence lengths in confinement (normalized)
# - ttrap: Mean trapping time in cavity (minutes)
# - tau_decorr_cavity_full: E2E full-vector decorrelation time in cavity ONLY (minutes)
# - tau_decorr_cavity_unit: E2E unit-vector decorrelation time in cavity ONLY (minutes)
# - RMSE_D10/D20/D30: MSD matching RMSE (log-space) vs experimental 10/20/30C over [10-50s]
#
Pe,T,kappa,H_free,lp_free,lp_free_error,lp_free_R2,lp_free_individual,lp_free_individual_std,tau_decorr_free_full,tau_decorr_free_full_error,tau_decorr_free_unit,tau_decorr_free_unit_error,D_long,D_long_error,D_long_R2,D_long_n_points,H_conf,lp_conf,lp_conf_error,lp_conf_R2,lp_conf_individual,ttrap,ttrap_std,tau_decorr_cavity_full,tau_decorr_cavity_unit,transloc_rate_per_hour,transloc_success_rate,transloc_n_success,transloc_n_attempts,transloc_total_events,RMSE_D10,RMSE_D20,RMSE_D30
0.250000,0.200000,0.800000,6.010320,0.133899,0.012500,0.991342,0.184273,0.145681,0.427692,0.008333,0.339308,0.008333,0.591518,0.000096,0.999995,201.000000,5.538758,0.237777,0.012500,0.749538,"(0.12096189754020413, 0.07885564430975561)",1.595388,1.821975,0.196991,0.158602,55.640305,37.745098,77.000000,127.000000,204.000000,0.037490,0.379089,0.462573
0.300000,0.050000,0.650000,5.397760,0.190253,0.012500,0.994672,0.277248,0.197400,0.369598,0.008333,0.322314,0.008333,2.423592,0.000420,0.999994,201.000000,5.649010,0.095531,0.012500,0.909149,"(0.15203168932961494, 0.10378076807356065)",1.119381,1.036389,0.207460,0.171318,88.104313,100.000000,122.000000,0.000000,122.000000,0.192334,0.200147,0.287698
0.300000,0.050000,0.800000,5.043539,0.218587,0.012500,0.995769,0.305459,0.206028,0.399252,0.008333,0.344240,0.008333,3.279504,0.000847,0.999987,201.000000,5.659397,,,,"(0.1662984388481607, 0.11424308291470243)",1.162261,1.194348,0.224479,0.171612,159.227986,86.614173,220.000000,34.000000,254.000000,0.257319,0.138100,0.227804
0.300000,0.100000,0.300000,5.871156,0.089057,0.012500,0.972835,0.107380,0.071526,0.267779,0.008333,0.172331,0.008333,0.484246,0.000144,0.999982,201.000000,4.968294,0.135763,0.012500,0.998531,"(0.07186987566952437, 0.024335597832780713)",3.111887,3.127366,0.148461,0.115119,7.294012,5.590062,9.000000,152.000000,161.000000,0.117422,0.497412,0.578249
0.300000,0.100000,0.400000,6.024987,0.107911,0.012500,0.975789,0.136000,0.093539,0.397303,0.008333,0.163323,0.008333,0.926511,0.000438,0.999956,201.000000,5.747485,0.312731,0.012500,0.902260,"(0.14196156680820746, 0.09608225330987562)",1.509722,1.436002,0.180359,0.142172,62.193652,41.148325,86.000000,123.000000,209.000000,0.078439,0.325563,0.411176
0.300000,0.100000,0.500000,6.055859,0.129513,0.012500,0.990776,0.186513,0.147556,0.292605,0.008333,0.237784,0.008333,0.930146,0.000168,0.999994,201.000000,5.687154,0.355082,0.012500,0.616291,"(0.15763287024459574, 0.11124885882590227)",1.336921,1.317201,0.200350,0.160145,112.477324,63.524590,155.000000,89.000000,244.000000,0.141372,0.244319,0.328062
0.300000,0.100000,0.650000,5.947508,0.190253,0.012500,0.994672,0.277248,0.197400,0.369598,0.008333,0.322314,0.008333,2.423592,0.000420,0.999994,201.000000,5.649010,0.210380,0.012500,0.797635,"(0.15203168932961494, 0.10378076807356065)",1.119381,1.036389,0.200509,0.142374,174.344607,90.298507,242.000000,26.000000,268.000000,0.192334,0.200147,0.287698
0.300000,0.100000,0.800000,5.780148,0.218587,0.012500,0.995769,0.305459,0.206028,0.399252,0.008333,0.344240,0.008333,3.279504,0.000847,0.999987,201.000000,5.659397,,,,"(0.1662984388481607, 0.11424308291470243)",1.162261,1.194348,0.224479,0.171612,159.227986,86.614173,220.000000,34.000000,254.000000,0.257319,0.138100,0.227804
0.300000,0.100000,1.000000,5.512341,0.288553,0.012500,0.997179,0.364012,0.221391,0.355534,0.008333,0.309107,0.008333,2.302335,0.000782,0.999977,201.000000,5.559227,,,,"(0.18915375915164406, 0.13447345752452117)",1.014568,1.084415,0.232820,0.204375,191.035175,97.416974,264.000000,7.000000,271.000000,0.456488,0.082593,0.083963
0.300000,0.200000,0.300000,5.575377,0.074537,0.012500,0.992368,0.082840,0.038847,0.242783,0.008333,0.139444,0.008333,0.365735,0.000099,0.999985,201.000000,5.046060,0.089716,0.012500,0.990357,"(0.07501905055061038, 0.03204676028839584)",4.388030,4.443417,0.136285,0.108654,2.955665,3.571429,4.000000,108.000000,112.000000,0.217664,0.598851,0.678910
