Pe,T,kappa,H_free,lp_free,lp_free_error,lp_free_R2,lp_free_individual,lp_free_individual_std,tau_decorr_free,tau_decorr_free_error,D_long,D_long_error,D_long_R2,D_long_n_points,H_conf,lp_conf,lp_conf_error,lp_conf_R2,lp_conf_individual,ttrap,ttrap_std,tau_decorr_cavity,transloc_rate_per_hour,transloc_success_rate,transloc_n_success,transloc_n_attempts,transloc_total_events,N_rot,tau_eff,tau_star,tau_geom,tau_0,tau_rot,D_r,mobility
0.1,0.15,0.35,,,,,,,,,,,,,5.044738,0.234709,0.0125,0.72639,,4.942424,4.159178,18.146,24.727273,55.737705,34.0,27.0,61.0,2.171,0.42,11.28,11.42,0.82,0.19,5.2095,2.380952380952381
0.1,0.15,0.4,5.990474,0.134265,0.0125,0.98643,0.195883,0.153391,51.709953,0.5,0.301506,3e-05,0.999998,201.0,4.501854,0.092514,0.0125,0.972283,,1.516667,0.0,17.95,43.438914,92.307692,24.0,2.0,26.0,15.897,2.72,2.92,2.92,0.75,0.17,5.8515,0.3676470588235294
0.1,0.15,0.5,,,,,,,,,,,,,5.281236,0.199034,0.0125,0.640001,,5.158676,5.013998,16.692,43.338684,81.081081,60.0,14.0,74.0,3.354,0.35,0.67,10.02,0.7,0.1,9.5832,2.857142857142857
0.1,0.15,0.65,,,,,,,,,,,,,5.425754,0.26321,0.0125,0.417358,,4.897588,5.043534,17.834,49.814126,94.366197,67.0,4.0,71.0,1.938,0.28,0.43,0.52,0.62,0.15,6.8404,3.571428571428571
0.1,0.2,0.15,,,,,,,,,,,,,4.572209,0.071852,0.0125,0.98363,,2.041666,1.402428,12.114,,,,,,2.308,0.47,1.35,1.35,1.02,0.2,4.9448,2.127659574468085
0.1,0.2,0.25,,,,,,,,,,,,,4.567308,0.089493,0.0125,0.902765,,1.596667,0.984984,7.186,,,,,,1.101,0.5,1.0,1.0,0.9,0.45,2.2025,2.0
0.1,0.2,0.35,,,,,,,,,,,,,4.492246,0.113254,0.0125,0.980883,,1.5625,0.783599,14.846,,,,,,2.611,0.5,0.62,0.62,0.6,0.19,5.2229,2.0
0.1,0.2,0.4,,,,,,,,,,,,,4.613229,0.076713,0.0125,0.987189,,3.583333,0.0,17.412,,,,,,2.545,0.38,0.7,2.57,0.8,0.15,6.6395,2.6315789473684212
0.1,0.2,0.5,,,,,,,,,,,,,4.550465,0.101035,0.0125,0.988675,,2.541666,0.129636,13.264,,,,,,3.21,0.35,0.67,0.67,0.68,0.11,9.1713,2.857142857142857
0.1,0.2,0.65,,,,,,,,,,,,,4.627152,0.111075,0.0125,0.976819,,1.44375,0.632138,12.192,,,,,,1.179,0.52,2.58,2.58,1.02,0.44,2.2828,1.923076923076923
